bio12,predicted_presence_probability
0,0.735795163
43.11111111,0.725766586
86.22222222,0.71550453
129.3333333,0.705014542
172.4444444,0.694303018
215.5555556,0.683377218
258.6666667,0.672245262
301.7777778,0.660916122
344.8888889,0.649399616
388,0.637706379
431.1111111,0.625847844
474.2222222,0.613836203
517.3333333,0.601684368
560.4444444,0.589405921
603.5555556,0.577015062
646.6666667,0.564526545
689.7777778,0.551955614
732.8888889,0.53931793
776,0.526629495
819.1111111,0.51390657
862.2222222,0.501165597
905.3333333,0.488423111
948.4444444,0.475695652
991.5555556,0.462999686
1034.666667,0.450351514
1077.777778,0.437767192
1120.888889,0.425262448
1164,0.412852607
1207.111111,0.40055252
1250.222222,0.388376491
1293.333333,0.376338221
1336.444444,0.364450748
1379.555556,0.352726398
1422.666667,0.341176746
1465.777778,0.329812576
1508.888889,0.318643855
1552,0.307679714
1595.111111,0.296928428
1638.222222,0.286397413
1681.333333,0.276093225
1724.444444,0.266021565
1767.555556,0.256187287
1810.666667,0.24659442
1853.777778,0.237246184
1896.888889,0.228145019
1940,0.219292614
1983.111111,0.210689936
2026.222222,0.20233727
2069.333333,0.194234253
2112.444444,0.186379917
2155.555556,0.178772723
2198.666667,0.171410607
2241.777778,0.16429102
2284.888889,0.157410969
2328,0.150767058
2371.111111,0.144355525
2414.222222,0.138172288
2457.333333,0.132212976
2500.444444,0.126472969
2543.555556,0.120947431
2586.666667,0.115631344
2629.777778,0.110519543
2672.888889,0.105606736
2716,0.100887544
2759.111111,0.096356517
2802.222222,0.092008161
2845.333333,0.087836963
2888.444444,0.083837406
2931.555556,0.080003991
2974.666667,0.076331253
3017.777778,0.072813775
3060.888889,0.069446202
3104,0.066223252
3147.111111,0.063139728
3190.222222,0.060190526
3233.333333,0.057370642
3276.444444,0.054675183
3319.555556,0.052099365
3362.666667,0.049638526
3405.777778,0.047288122
3448.888889,0.045043736
3492,0.042901076
3535.111111,0.040855978
3578.222222,0.038904408
3621.333333,0.037042458
3664.444444,0.035266351
3707.555556,0.033572435
3750.666667,0.031957186
3793.777778,0.030417205
3836.888889,0.028949214
3880,0.027550058
3923.111111,0.0262167
3966.222222,0.024946218
4009.333333,0.023735803
4052.444444,0.022582759
4095.555556,0.021484495
4138.666667,0.020438526
4181.777778,0.019442468
4224.888889,0.018494036
4268,0.017591039