elevation,predicted_presence_probability
-29,0.578282857
28.26262626,0.568834234
85.52525253,0.559335231
142.7878788,0.549792585
200.0505051,0.540213161
257.3131313,0.530603932
314.5757576,0.520971956
371.8383838,0.511324363
429.1010101,0.501668325
486.3636364,0.492011043
543.6262626,0.482359719
600.8888889,0.472721539
658.1515152,0.463103649
715.4141414,0.453513135
772.6767677,0.443957001
829.9393939,0.434442152
887.2020202,0.42497537
944.4646465,0.415563299
1001.727273,0.406212423
1058.989899,0.396929055
1116.252525,0.387719314
1173.515152,0.378589115
1230.777778,0.369544152
1288.040404,0.36058989
1345.30303,0.351731549
1402.565657,0.342974097
1459.828283,0.33432224
1517.090909,0.325780416
1574.353535,0.31735279
1631.616162,0.309043247
1688.878788,0.30085539
1746.141414,0.292792539
1803.40404,0.284857731
1860.666667,0.277053718
1917.929293,0.26938297
1975.191919,0.261847677
2032.454545,0.254449758
2089.717172,0.247190856
2146.979798,0.240072354
2204.242424,0.233095374
2261.505051,0.226260788
2318.767677,0.219569224
2376.030303,0.213021075
2433.292929,0.206616509
2490.555556,0.200355477
2547.818182,0.194237721
2605.080808,0.188262789
2662.343434,0.182430038
2719.606061,0.176738652
2776.868687,0.171187646
2834.131313,0.165775879
2891.393939,0.160502063
2948.656566,0.155364777
3005.919192,0.150362471
3063.181818,0.145493482
3120.444444,0.140756039
3177.707071,0.136148275
3234.969697,0.131668236
3292.232323,0.127313889
3349.494949,0.123083131
3406.757576,0.118973798
3464.020202,0.114983672
3521.282828,0.11111049
3578.545455,0.107351949
3635.808081,0.103705715
3693.070707,0.100169429
3750.333333,0.096740712
3807.59596,0.093417174
3864.858586,0.090196414
3922.121212,0.087076031
3979.383838,0.084053626
4036.646465,0.081126806
4093.909091,0.078293189
4151.171717,0.075550408
4208.434343,0.072896113
4265.69697,0.070327977
4322.959596,0.067843695
4380.222222,0.065440991
4437.484848,0.063117619
4494.747475,0.06087136
4552.010101,0.058700035
4609.272727,0.056601493
4666.535354,0.054573626
4723.79798,0.052614359
4781.060606,0.050721659
4838.323232,0.048893531
4895.585859,0.047128022
4952.848485,0.04542322
5010.111111,0.043777253
5067.373737,0.042188295
5124.636364,0.040654557
5181.89899,0.039174298
5239.161616,0.037745815
5296.424242,0.03636745
5353.686869,0.035037586
5410.949495,0.033754649
5468.212121,0.032517104
5525.474747,0.031323461
5582.737374,0.030172267
5640,0.029062113